name,cohort,analysis,outcome,model,outcome_time_median,term,hr,conf_low,conf_high,source
cohort_prevax-main-acute_pancreatitis,prevax,main,acute_pancreatitis,mdl_age_sex,1,days0_1,137.415957,120.2747624,157.0000627,R
cohort_prevax-main-acute_pancreatitis,prevax,main,acute_pancreatitis,mdl_age_sex,12,days1_28,3.212290419,2.711818255,3.805125848,R
cohort_prevax-main-acute_pancreatitis,prevax,main,acute_pancreatitis,mdl_age_sex,271,days197_365,1.378262079,1.242923849,1.528336882,R
cohort_prevax-main-acute_pancreatitis,prevax,main,acute_pancreatitis,mdl_age_sex,101,days28_197,1.501647713,1.361924298,1.655705723,R
cohort_prevax-main-acute_pancreatitis,prevax,main,acute_pancreatitis,mdl_age_sex,438.5,days365_714,1.974073317,1.6801426800000001,2.319425313,R
cohort_prevax-main-acute_pancreatitis,prevax,main,acute_pancreatitis,mdl_age_sex,368,days_pre,NA,NA,NA,R
cohort_prevax-main-acute_pancreatitis,prevax,main,acute_pancreatitis,mdl_max_adj,1,days0_1,109.2392278,94.71256765,125.9939329,R
cohort_prevax-main-acute_pancreatitis,prevax,main,acute_pancreatitis,mdl_max_adj,12,days1_28,2.800987658,2.380269497,3.296068731,R
cohort_prevax-main-acute_pancreatitis,prevax,main,acute_pancreatitis,mdl_max_adj,271,days197_365,1.221741764,1.101580011,1.355010915,R
cohort_prevax-main-acute_pancreatitis,prevax,main,acute_pancreatitis,mdl_max_adj,101,days28_197,1.333208219,1.208836817,1.470375596,R
cohort_prevax-main-acute_pancreatitis,prevax,main,acute_pancreatitis,mdl_max_adj,438.5,days365_714,1.632502284,1.388776366,1.919001341,R
cohort_prevax-main-acute_pancreatitis,prevax,main,acute_pancreatitis,mdl_max_adj,368,days_pre,NA,NA,NA,R
cohort_prevax-main-appendicitis,prevax,main,appendicitis,mdl_age_sex,1,days0_1,53.33750489,44.56672814,63.8343793,R
cohort_prevax-main-appendicitis,prevax,main,appendicitis,mdl_age_sex,14,days1_28,1.892170062,1.56965341,2.280954203,R
cohort_prevax-main-appendicitis,prevax,main,appendicitis,mdl_age_sex,268,days197_365,1.249071315,1.135262328,1.374289547,R
cohort_prevax-main-appendicitis,prevax,main,appendicitis,mdl_age_sex,107,days28_197,1.30057175,1.19057763,1.420727917,R
cohort_prevax-main-appendicitis,prevax,main,appendicitis,mdl_age_sex,409,days365_714,1.343694215,1.109611887,1.627158257,R
cohort_prevax-main-appendicitis,prevax,main,appendicitis,mdl_age_sex,349,days_pre,NA,NA,NA,R
cohort_prevax-main-appendicitis,prevax,main,appendicitis,mdl_max_adj,1,days0_1,50.48786311,42.17478354,60.43953536,R
cohort_prevax-main-appendicitis,prevax,main,appendicitis,mdl_max_adj,14,days1_28,1.79247722,1.486936598,2.160801335,R
cohort_prevax-main-appendicitis,prevax,main,appendicitis,mdl_max_adj,268,days197_365,1.179963807,1.072338516,1.298390915,R
cohort_prevax-main-appendicitis,prevax,main,appendicitis,mdl_max_adj,107,days28_197,1.231056659,1.126890991,1.344851019,R
cohort_prevax-main-appendicitis,prevax,main,appendicitis,mdl_max_adj,409,days365_714,1.235875078,1.020407569,1.496840336,R
cohort_prevax-main-appendicitis,prevax,main,appendicitis,mdl_max_adj,349,days_pre,NA,NA,NA,R
cohort_prevax-main-dyspepsia,prevax,main,dyspepsia,mdl_age_sex,1,days0_1,39.2223892,36.07495238,42.64443092,R
cohort_prevax-main-dyspepsia,prevax,main,dyspepsia,mdl_age_sex,13,days1_28,1.922139251,1.772541119,2.084363098,R
cohort_prevax-main-dyspepsia,prevax,main,dyspepsia,mdl_age_sex,275,days197_365,1.426016124,1.37051582,1.483763964,R
cohort_prevax-main-dyspepsia,prevax,main,dyspepsia,mdl_age_sex,114,days28_197,1.454313069,1.401560132,1.509051559,R
cohort_prevax-main-dyspepsia,prevax,main,dyspepsia,mdl_age_sex,417.5,days365_714,1.552838357,1.443955318,1.669931841,R
cohort_prevax-main-dyspepsia,prevax,main,dyspepsia,mdl_age_sex,367,days_pre,NA,NA,NA,R
cohort_prevax-main-dyspepsia,prevax,main,dyspepsia,mdl_max_adj,1,days0_1,28.41846945,25.73921596,31.37661252,R
cohort_prevax-main-dyspepsia,prevax,main,dyspepsia,mdl_max_adj,13,days1_28,1.646675228,1.517942838,1.786325044,R
cohort_prevax-main-dyspepsia,prevax,main,dyspepsia,mdl_max_adj,275,days197_365,1.219554144,1.171969153,1.269071208,R
cohort_prevax-main-dyspepsia,prevax,main,dyspepsia,mdl_max_adj,114,days28_197,1.252227908,1.206691966,1.299482201,R
cohort_prevax-main-dyspepsia,prevax,main,dyspepsia,mdl_max_adj,417.5,days365_714,1.246103204,1.15832288,1.340535719,R
cohort_prevax-main-dyspepsia,prevax,main,dyspepsia,mdl_max_adj,367,days_pre,NA,NA,NA,R
cohort_prevax-main-gallstones_disease,prevax,main,gallstones_disease,mdl_age_sex,1,days0_1,115.6241021,108.6083418,123.0930586,R
cohort_prevax-main-gallstones_disease,prevax,main,gallstones_disease,mdl_age_sex,11,days1_28,3.175824131,2.947215994,3.422164826,R
cohort_prevax-main-gallstones_disease,prevax,main,gallstones_disease,mdl_age_sex,277,days197_365,1.403457445,1.343643831,1.46593372,R
cohort_prevax-main-gallstones_disease,prevax,main,gallstones_disease,mdl_age_sex,112,days28_197,1.676556631,1.611141019,1.744628249,R
cohort_prevax-main-gallstones_disease,prevax,main,gallstones_disease,mdl_age_sex,427,days365_714,1.657098069,1.543586352,1.778957171,R
cohort_prevax-main-gallstones_disease,prevax,main,gallstones_disease,mdl_age_sex,381,days_pre,NA,NA,NA,R
cohort_prevax-main-gallstones_disease,prevax,main,gallstones_disease,mdl_max_adj,1,days0_1,98.8554404,92.84541143,105.254508,R
cohort_prevax-main-gallstones_disease,prevax,main,gallstones_disease,mdl_max_adj,11,days1_28,2.729988105,2.532873136,2.942443089,R
cohort_prevax-main-gallstones_disease,prevax,main,gallstones_disease,mdl_max_adj,277,days197_365,1.20712973,1.155538491,1.261024358,R
cohort_prevax-main-gallstones_disease,prevax,main,gallstones_disease,mdl_max_adj,112,days28_197,1.448601471,1.391876466,1.507638267,R
cohort_prevax-main-gallstones_disease,prevax,main,gallstones_disease,mdl_max_adj,427,days365_714,1.345608767,1.252963079,1.445104794,R
cohort_prevax-main-gallstones_disease,prevax,main,gallstones_disease,mdl_max_adj,381,days_pre,NA,NA,NA,R
cohort_prevax-main-gastro_oesophageal_reflux_disease,prevax,main,gastro_oesophageal_reflux_disease,mdl_age_sex,1,days0_1,85.59338307,82.05555525,89.28374444,R
cohort_prevax-main-gastro_oesophageal_reflux_disease,prevax,main,gastro_oesophageal_reflux_disease,mdl_age_sex,9,days1_28,3.910404818,3.757016628,4.070055408,R
cohort_prevax-main-gastro_oesophageal_reflux_disease,prevax,main,gastro_oesophageal_reflux_disease,mdl_age_sex,277,days197_365,1.406526092,1.371367878,1.442585668,R
cohort_prevax-main-gastro_oesophageal_reflux_disease,prevax,main,gastro_oesophageal_reflux_disease,mdl_age_sex,109,days28_197,1.566498832,1.528958435,1.604960955,R
cohort_prevax-main-gastro_oesophageal_reflux_disease,prevax,main,gastro_oesophageal_reflux_disease,mdl_age_sex,423,days365_714,1.64011544,1.572022994,1.711157322,R
cohort_prevax-main-gastro_oesophageal_reflux_disease,prevax,main,gastro_oesophageal_reflux_disease,mdl_age_sex,399,days_pre,NA,NA,NA,R
cohort_prevax-main-gastro_oesophageal_reflux_disease,prevax,main,gastro_oesophageal_reflux_disease,mdl_max_adj,1,days0_1,70.81354282,67.79175655,73.97002382,R
cohort_prevax-main-gastro_oesophageal_reflux_disease,prevax,main,gastro_oesophageal_reflux_disease,mdl_max_adj,9,days1_28,3.361246615,3.229352772,3.498527292,R
cohort_prevax-main-gastro_oesophageal_reflux_disease,prevax,main,gastro_oesophageal_reflux_disease,mdl_max_adj,277,days197_365,1.205381689,1.17515967,1.236380938,R
cohort_prevax-main-gastro_oesophageal_reflux_disease,prevax,main,gastro_oesophageal_reflux_disease,mdl_max_adj,109,days28_197,1.3490474669999999,1.316585334,1.382309997,R
cohort_prevax-main-gastro_oesophageal_reflux_disease,prevax,main,gastro_oesophageal_reflux_disease,mdl_max_adj,423,days365_714,1.331207093,1.275504762,1.389341989,R
cohort_prevax-main-gastro_oesophageal_reflux_disease,prevax,main,gastro_oesophageal_reflux_disease,mdl_max_adj,399,days_pre,NA,NA,NA,R
cohort_prevax-main-ibs,prevax,main,ibs,mdl_age_sex,1,days0_1,49.83298231,45.88013229,54.12639418,R
cohort_prevax-main-ibs,prevax,main,ibs,mdl_age_sex,10,days1_28,2.484594085,2.305752959,2.677306666,R
cohort_prevax-main-ibs,prevax,main,ibs,mdl_age_sex,277,days197_365,1.275717232,1.227072667,1.326290202,R
cohort_prevax-main-ibs,prevax,main,ibs,mdl_age_sex,116,days28_197,1.293191576,1.243543292,1.344822061,R
cohort_prevax-main-ibs,prevax,main,ibs,mdl_age_sex,418,days365_714,1.384731283,1.289123008,1.487430381,R
cohort_prevax-main-ibs,prevax,main,ibs,mdl_age_sex,399,days_pre,NA,NA,NA,R
cohort_prevax-main-ibs,prevax,main,ibs,mdl_max_adj,1,days0_1,47.5280814,44.01538527,51.3211121,R
cohort_prevax-main-ibs,prevax,main,ibs,mdl_max_adj,10,days1_28,2.198208085,2.039592096,2.369159399,R
cohort_prevax-main-ibs,prevax,main,ibs,mdl_max_adj,277,days197_365,1.122260102,1.079225122,1.167011136,R
cohort_prevax-main-ibs,prevax,main,ibs,mdl_max_adj,116,days28_197,1.143823569,1.09959162,1.189834784,R
cohort_prevax-main-ibs,prevax,main,ibs,mdl_max_adj,418,days365_714,1.145789729,1.066224496,1.231292384,R
cohort_prevax-main-ibs,prevax,main,ibs,mdl_max_adj,399,days_pre,NA,NA,NA,R
cohort_prevax-main-lower_gi_bleeding,prevax,main,lower_gi_bleeding,mdl_age_sex,1,days0_1,104.0598351,98.28516177,110.1737951,R
cohort_prevax-main-lower_gi_bleeding,prevax,main,lower_gi_bleeding,mdl_age_sex,12,days1_28,2.770521199,2.586036805,2.968166461,R
cohort_prevax-main-lower_gi_bleeding,prevax,main,lower_gi_bleeding,mdl_age_sex,279,days197_365,1.4009564350000001,1.345938334,1.458223518,R
cohort_prevax-main-lower_gi_bleeding,prevax,main,lower_gi_bleeding,mdl_age_sex,106,days28_197,1.634523273,1.576858655,1.694296645,R
cohort_prevax-main-lower_gi_bleeding,prevax,main,lower_gi_bleeding,mdl_age_sex,422,days365_714,1.61060886,1.50426105,1.724475216,R
cohort_prevax-main-lower_gi_bleeding,prevax,main,lower_gi_bleeding,mdl_age_sex,377,days_pre,NA,NA,NA,R
cohort_prevax-main-lower_gi_bleeding,prevax,main,lower_gi_bleeding,mdl_max_adj,1,days0_1,91.6398209,86.50717052,97.07700211,R
cohort_prevax-main-lower_gi_bleeding,prevax,main,lower_gi_bleeding,mdl_max_adj,12,days1_28,2.473976821,2.309094504,2.650632662,R
cohort_prevax-main-lower_gi_bleeding,prevax,main,lower_gi_bleeding,mdl_max_adj,279,days197_365,1.247927219,1.198834921,1.299029848,R
cohort_prevax-main-lower_gi_bleeding,prevax,main,lower_gi_bleeding,mdl_max_adj,106,days28_197,1.461936269,1.410256863,1.515509487,R
cohort_prevax-main-lower_gi_bleeding,prevax,main,lower_gi_bleeding,mdl_max_adj,422,days365_714,1.352436372,1.262798297,1.448437288,R
cohort_prevax-main-lower_gi_bleeding,prevax,main,lower_gi_bleeding,mdl_max_adj,377,days_pre,NA,NA,NA,R
cohort_prevax-main-nonalcoholic_steatohepatitis,prevax,main,nonalcoholic_steatohepatitis,mdl_age_sex,1,days0_1,191.3356133,142.2250662,257.4041124,R
cohort_prevax-main-nonalcoholic_steatohepatitis,prevax,main,nonalcoholic_steatohepatitis,mdl_age_sex,10,days1_28,6.17784118,4.489637842,8.500846389,R
cohort_prevax-main-nonalcoholic_steatohepatitis,prevax,main,nonalcoholic_steatohepatitis,mdl_age_sex,290,days197_365,1.40261595,1.105280891,1.779938042,R
cohort_prevax-main-nonalcoholic_steatohepatitis,prevax,main,nonalcoholic_steatohepatitis,mdl_age_sex,118.5,days28_197,2.246691875,1.847508196,2.732125568,R
cohort_prevax-main-nonalcoholic_steatohepatitis,prevax,main,nonalcoholic_steatohepatitis,mdl_age_sex,448,days365_714,2.551045908,1.850900073,3.516038128,R
cohort_prevax-main-nonalcoholic_steatohepatitis,prevax,main,nonalcoholic_steatohepatitis,mdl_age_sex,434,days_pre,NA,NA,NA,R
cohort_prevax-main-nonalcoholic_steatohepatitis,prevax,main,nonalcoholic_steatohepatitis,mdl_max_adj,1,days0_1,258.0263549,197.5807437,336.9640107,R
cohort_prevax-main-nonalcoholic_steatohepatitis,prevax,main,nonalcoholic_steatohepatitis,mdl_max_adj,10,days1_28,5.889973746,4.008095654,8.65542984,R
cohort_prevax-main-nonalcoholic_steatohepatitis,prevax,main,nonalcoholic_steatohepatitis,mdl_max_adj,290,days197_365,1.099173965,0.733169436,1.647891122,R
cohort_prevax-main-nonalcoholic_steatohepatitis,prevax,main,nonalcoholic_steatohepatitis,mdl_max_adj,118.5,days28_197,1.567847119,1.045578193,2.350990684,R
cohort_prevax-main-nonalcoholic_steatohepatitis,prevax,main,nonalcoholic_steatohepatitis,mdl_max_adj,448,days365_714,1.74790195,0.949533983,3.21753753,R
cohort_prevax-main-nonalcoholic_steatohepatitis,prevax,main,nonalcoholic_steatohepatitis,mdl_max_adj,434,days_pre,NA,NA,NA,R
cohort_prevax-main-nonvariceal_gi_bleeding,prevax,main,nonvariceal_gi_bleeding,mdl_age_sex,1,days0_1,130.4470034,124.3086404,136.8884787,R
cohort_prevax-main-nonvariceal_gi_bleeding,prevax,main,nonvariceal_gi_bleeding,mdl_age_sex,11,days1_28,3.161918531,2.975717093,3.359771269,R
cohort_prevax-main-nonvariceal_gi_bleeding,prevax,main,nonvariceal_gi_bleeding,mdl_age_sex,278,days197_365,1.381280082,1.330322618,1.434189451,R
cohort_prevax-main-nonvariceal_gi_bleeding,prevax,main,nonvariceal_gi_bleeding,mdl_age_sex,105,days28_197,1.637116138,1.582867964,1.69322351,R
cohort_prevax-main-nonvariceal_gi_bleeding,prevax,main,nonvariceal_gi_bleeding,mdl_age_sex,422,days365_714,1.682380512,1.581839341,1.789312045,R
cohort_prevax-main-nonvariceal_gi_bleeding,prevax,main,nonvariceal_gi_bleeding,mdl_age_sex,379,days_pre,NA,NA,NA,R
cohort_prevax-main-nonvariceal_gi_bleeding,prevax,main,nonvariceal_gi_bleeding,mdl_max_adj,1,days0_1,115.6598747,110.2123457,121.3766619,R
cohort_prevax-main-nonvariceal_gi_bleeding,prevax,main,nonvariceal_gi_bleeding,mdl_max_adj,11,days1_28,2.81525328,2.648865633,2.992092514,R
cohort_prevax-main-nonvariceal_gi_bleeding,prevax,main,nonvariceal_gi_bleeding,mdl_max_adj,278,days197_365,1.233177518,1.187591662,1.280513193,R
cohort_prevax-main-nonvariceal_gi_bleeding,prevax,main,nonvariceal_gi_bleeding,mdl_max_adj,105,days28_197,1.466114543,1.41742286,1.516478896,R
cohort_prevax-main-nonvariceal_gi_bleeding,prevax,main,nonvariceal_gi_bleeding,mdl_max_adj,422,days365_714,1.40791429,1.323267793,1.497975437,R
cohort_prevax-main-nonvariceal_gi_bleeding,prevax,main,nonvariceal_gi_bleeding,mdl_max_adj,379,days_pre,NA,NA,NA,R
cohort_prevax-main-peptic_ulcer,prevax,main,peptic_ulcer,mdl_age_sex,1,days0_1,69.13818829,57.71313303,82.82497985,R
cohort_prevax-main-peptic_ulcer,prevax,main,peptic_ulcer,mdl_age_sex,12,days1_28,4.865300904,4.171486399,5.674512781,R
cohort_prevax-main-peptic_ulcer,prevax,main,peptic_ulcer,mdl_age_sex,281,days197_365,1.424688122,1.276632571,1.589914194,R
cohort_prevax-main-peptic_ulcer,prevax,main,peptic_ulcer,mdl_age_sex,104,days28_197,1.891301477,1.717967697,2.082123712,R
cohort_prevax-main-peptic_ulcer,prevax,main,peptic_ulcer,mdl_age_sex,427,days365_714,1.499213478,1.244212085,1.806477433,R
cohort_prevax-main-peptic_ulcer,prevax,main,peptic_ulcer,mdl_age_sex,391,days_pre,NA,NA,NA,R
cohort_prevax-main-peptic_ulcer,prevax,main,peptic_ulcer,mdl_max_adj,1,days0_1,50.43648029,40.38286604,62.99301645,R
cohort_prevax-main-peptic_ulcer,prevax,main,peptic_ulcer,mdl_max_adj,12,days1_28,4.380705696,3.751536795,5.115392289,R
cohort_prevax-main-peptic_ulcer,prevax,main,peptic_ulcer,mdl_max_adj,281,days197_365,1.297725579,1.162712054,1.448416806,R
cohort_prevax-main-peptic_ulcer,prevax,main,peptic_ulcer,mdl_max_adj,104,days28_197,1.727567887,1.568954374,1.90221644,R
cohort_prevax-main-peptic_ulcer,prevax,main,peptic_ulcer,mdl_max_adj,427,days365_714,1.300862681,1.079114642,1.568177884,R
cohort_prevax-main-peptic_ulcer,prevax,main,peptic_ulcer,mdl_max_adj,391,days_pre,NA,NA,NA,R
cohort_prevax-main-upper_gi_bleeding,prevax,main,upper_gi_bleeding,mdl_age_sex,1,days0_1,201.6659092,191.8914186,211.938289,R
cohort_prevax-main-upper_gi_bleeding,prevax,main,upper_gi_bleeding,mdl_age_sex,10,days1_28,4.437958268,4.162992737,4.731085264,R
cohort_prevax-main-upper_gi_bleeding,prevax,main,upper_gi_bleeding,mdl_age_sex,278,days197_365,1.451754095,1.387500154,1.518983582,R
cohort_prevax-main-upper_gi_bleeding,prevax,main,upper_gi_bleeding,mdl_age_sex,102,days28_197,1.787721402,1.716872993,1.861493439,R
cohort_prevax-main-upper_gi_bleeding,prevax,main,upper_gi_bleeding,mdl_age_sex,429,days365_714,1.741509313,1.620084523,1.872034849,R
cohort_prevax-main-upper_gi_bleeding,prevax,main,upper_gi_bleeding,mdl_age_sex,387,days_pre,NA,NA,NA,R
cohort_prevax-main-upper_gi_bleeding,prevax,main,upper_gi_bleeding,mdl_max_adj,1,days0_1,176.8380546,168.2501958,185.8642567,R
